instrumentid,Name,Latitude,Longitude,y,m,d,h,grafNO2
1,Hjortnes,59.91132000,10.70407000,2017,1,6,12,138.315826
1,Hjortnes,59.91132000,10.70407000,2017,1,6,13,40.128235
1,Hjortnes,59.91132000,10.70407000,2017,1,6,14,19.379208
1,Hjortnes,59.91132000,10.70407000,2017,1,6,15,17.671948
1,Hjortnes,59.91132000,10.70407000,2017,1,6,16,18.773560
1,Hjortnes,59.91132000,10.70407000,2017,1,6,17,25.205666
1,Hjortnes,59.91132000,10.70407000,2017,1,6,18,25.004134
1,Hjortnes,59.91132000,10.70407000,2017,1,6,19,19.285254
1,Hjortnes,59.91132000,10.70407000,2017,1,6,20,20.368637
1,Hjortnes,59.91132000,10.70407000,2017,1,6,21,16.777780
1,Hjortnes,59.91132000,10.70407000,2017,1,6,22,15.384375
1,Hjortnes,59.91132000,10.70407000,2017,1,6,23,17.744777
1,Hjortnes,59.91132000,10.70407000,2017,1,7,0,12.870922
1,Hjortnes,59.91132000,10.70407000,2017,1,7,1,17.069383
1,Hjortnes,59.91132000,10.70407000,2017,1,7,2,43.444105
1,Hjortnes,59.91132000,10.70407000,2017,1,7,3,53.151570
1,Hjortnes,59.91132000,10.70407000,2017,1,7,4,49.225872
1,Hjortnes,59.91132000,10.70407000,2017,1,7,5,58.726981
1,Hjortnes,59.91132000,10.70407000,2017,1,7,6,70.583528
1,Hjortnes,59.91132000,10.70407000,2017,1,7,7,65.718460
1,Hjortnes,59.91132000,10.70407000,2017,1,7,8,88.748317
1,Hjortnes,59.91132000,10.70407000,2017,1,7,9,94.872934
1,Hjortnes,59.91132000,10.70407000,2017,1,7,10,128.498941
1,Hjortnes,59.91132000,10.70407000,2017,1,7,11,134.225174
1,Hjortnes,59.91132000,10.70407000,2017,1,7,12,88.121389
1,Hjortnes,59.91132000,10.70407000,2017,1,7,13,122.599155
1,Hjortnes,59.91132000,10.70407000,2017,1,7,14,132.255001
1,Hjortnes,59.91132000,10.70407000,2017,1,7,15,153.999097
1,Hjortnes,59.91132000,10.70407000,2017,1,7,16,160.567293
1,Hjortnes,59.91132000,10.70407000,2017,1,7,17,148.631773
1,Hjortnes,59.91132000,10.70407000,2017,1,7,18,140.449439
1,Hjortnes,59.91132000,10.70407000,2017,1,7,19,127.804099
1,Hjortnes,59.91132000,10.70407000,2017,1,7,20,115.047800
1,Hjortnes,59.91132000,10.70407000,2017,1,7,21,89.587783
1,Hjortnes,59.91132000,10.70407000,2017,1,7,22,73.458085
